y,alpha,beta
1,476,798
1,799,462
1,781,213
0,159,681
0,407,423
1,758,763
1,244,172
0,645,550
0,274,538
0,719,523
1,366,785
1,707,790
0,298,460
0,278,370
1,421,714
1,786,303
1,417,763
1,214,774
0,271,419
0,164,646
1,772,726
1,191,834
1,476,269
0,305,499
1,454,752
1,250,758
0,337,442
1,731,236
1,149,793
1,892,524
1,225,876
0,615,488
1,799,624
0,306,627
1,334,710
1,319,795
1,681,302
1,533,632
1,819,677
1,227,141
1,716,214
1,802,301
0,208,529
1,353,783
0,677,546
1,878,510
1,479,639
1,617,733
0,154,246
1,347,712
1,462,561
1,333,296
1,786,654
1,319,714
1,689,227
1,476,196
0,222,416
1,151,743
1,297,224
1,842,360
1,555,332
1,601,735
1,477,561
0,219,329
1,361,787
1,263,183
1,479,640
0,152,363
1,858,377
1,326,719
0,644,499
0,173,335
0,601,571
1,751,710
1,470,596
0,300,556
0,209,436
0,622,572
0,678,547
1,212,872
0,549,414
1,668,294
0,295,614
1,365,731
0,195,557
1,857,602
0,191,660
1,400,761
1,143,844
0,231,567
1,528,204
0,288,545
1,827,614
1,794,226
1,318,842
1,355,676
1,640,182
0,686,582
1,819,483
1,431,518
1,465,633
0,311,418
0,346,440
1,403,629
0,192,669
1,781,717
1,788,658
1,551,811
0,601,611
1,795,253
0,661,650
1,604,786
1,587,751
0,186,514
1,537,307
0,150,379
1,591,329
1,712,265
1,139,786
0,362,382
1,159,742
1,853,609
1,824,523
0,159,350
0,698,356
0,660,476
1,247,238
1,562,229
1,697,297
1,479,217
1,393,300
1,281,243
1,671,745
1,195,181
1,309,691
0,651,546
0,376,434
0,323,361
1,426,319
0,189,406
1,676,308
1,345,276
0,619,539
0,295,599
1,312,809
1,499,775
1,423,650
1,234,743
1,569,304
1,883,579
1,649,712
1,880,585
0,672,612
0,356,396
0,367,409
0,579,416
1,282,793
1,262,261
1,806,516
1,234,140
0,671,604
0,676,390
1,818,406
1,359,520
1,571,345
1,457,575
0,693,471
0,258,549
1,788,632
0,151,270
1,458,239
1,319,308
1,363,732
1,665,825
1,503,600
1,360,668
0,220,546
1,347,242
0,268,594
1,878,520
1,729,800
1,537,354
0,324,400
1,898,451
1,139,850
0,318,430
1,374,231
0,231,420
1,325,251
1,699,312
1,803,320
0,158,386
0,255,592
1,300,726
0,476,425
0,405,435
1,477,732
1,587,726
1,304,700
0,249,464
1,177,749
1,359,721
0,644,364
0,273,533
1,374,246
1,813,681
1,475,318
1,313,764
1,562,771
1,487,507
0,607,566
0,169,285
1,401,528
0,382,402
1,844,241
0,389,434
1,372,522
0,144,580
0,718,347
1,518,768
1,568,216
0,380,399
1,135,816
1,579,326
1,833,648
0,588,429
0,212,638
1,477,328
1,242,727
1,704,206
1,765,260
1,823,703
1,515,331
1,624,799
1,799,725
1,470,581
1,539,190
0,183,379
1,441,801
1,790,334
0,177,642
