y,alpha,beta
1,681,604
1,517,783
0,384,513
1,41,694
0,783,449
1,455,903
1,191,262
0,760,666
1,14,220
0,446,828
1,66,563
1,108,560
0,516,859
0,498,239
0,795,307
0,242,749
1,874,547
1,646,546
1,838,906
1,0,287
1,571,780
1,815,339
0,917,528
0,790,639
0,823,479
0,250,736
1,551,773
1,896,634
1,408,223
1,139,571
0,493,260
0,452,653
1,641,919
0,430,653
0,168,576
1,865,60
1,988,931
1,754,365
1,267,585
0,191,581
0,487,856
1,803,883
1,57,386
0,199,564
0,403,525
0,234,78
1,395,389
1,476,303
0,146,507
0,741,516
0,445,549
0,674,456
1,416,273
0,674,489
0,922,187
1,638,1
0,804,560
0,450,702
1,763,947
1,909,132
0,473,520
0,751,505
0,124,248
1,980,448
1,597,624
0,83,223
1,237,624
1,442,967
1,367,238
1,44,893
1,400,288
1,855,403
0,665,438
0,82,268
1,43,913
0,880,341
0,526,268
1,273,233
1,327,889
1,393,217
1,284,938
1,645,270
0,211,61
1,446,310
1,531,602
0,90,169
0,628,518
1,96,722
0,159,878
1,719,704
1,172,20
0,160,581
1,822,912
1,839,347
0,937,908
0,194,665
1,652,689
1,645,5
0,672,455
1,70,887
0,349,396
1,160,790
0,443,606
1,904,112
1,656,660
1,919,894
1,443,861
0,106,82
1,479,693
1,20,143
0,916,674
0,186,541
1,396,402
0,649,456
1,50,572
0,250,26
1,529,901
1,9,854
0,168,860
1,40,11
1,474,988
1,310,37
1,628,898
1,661,401
1,99,766
1,156,810
0,580,237
1,998,141
1,155,437
1,1,442
0,530,277
1,478,233
1,870,550
1,330,907
0,929,769
1,265,617
1,982,539
0,376,459
1,462,717
1,7,595
1,73,335
1,134,1
1,10,702
1,140,716
1,234,146
1,529,943
1,841,33
1,442,144
1,962,472
1,1,261
0,210,521
1,500,56
0,448,451
0,525,834
1,780,894
1,95,947
0,894,318
0,569,301
1,775,891
1,775,915
1,463,28
0,614,497
0,908,650
1,204,6
1,991,628
1,333,574
1,654,196
1,735,590
1,313,522
1,839,238
