y,alpha,beta
0,820,943
0,703,242
0,924,16
0,541,548
0,41,475
0,325,936
1,540,393
0,726,244
0,386,508
0,948,438
0,365,64
0,75,371
0,803,15
1,487,339
0,677,322
0,53,22
0,375,256
0,526,85
0,169,394
0,579,142
0,993,702
0,500,683
0,399,754
1,576,256
0,864,141
0,730,945
0,781,143
1,773,691
0,70,430
0,452,877
0,686,318
0,113,311
1,456,308
0,311,939
0,675,532
1,714,702
1,496,829
1,478,335
0,349,260
0,931,959
0,277,813
0,184,250
0,112,661
0,451,850
0,760,379
0,361,259
0,708,301
1,324,785
1,787,662
0,252,258
0,774,595
0,736,651
0,45,392
0,175,516
0,188,792
1,569,423
0,542,30
0,938,832
0,722,786
0,379,58
1,515,736
0,476,999
0,247,901
0,33,100
0,84,315
0,399,635
1,474,724
0,376,504
0,391,2
0,84,889
0,566,227
0,908,317
0,436,91
0,449,918
0,659,180
0,307,603
1,448,678
0,414,51
0,125,459
0,92,413
0,668,198
0,131,392
0,69,685
1,515,527
0,916,294
1,676,501
0,356,901
0,163,382
0,105,394
0,379,57
0,54,574
0,758,499
0,361,0
0,884,529
0,489,825
0,219,9
0,207,234
0,221,625
0,715,294
0,515,139
0,985,216
0,194,667
0,548,393
0,169,723
0,412,171
0,362,502
0,78,171
1,503,275
0,689,343
0,884,447
0,69,752
0,950,362
0,789,414
0,938,470
1,427,258
0,44,848
0,792,242
0,660,26
0,810,233
0,406,652
0,411,624
0,541,824
0,249,637
0,960,367
0,674,707
0,935,231
0,243,562
0,961,597
0,302,375
1,454,626
0,103,862
0,272,204
0,953,539
0,957,447
0,256,217
0,584,754
0,409,64
0,619,960
0,105,655
0,866,81
0,995,471
0,872,684
0,923,962
0,431,496
0,989,625
0,465,920
0,231,988
0,224,795
0,999,689
0,875,371
0,792,181
0,938,806
0,39,784
0,832,35
0,930,642
0,598,972
1,497,819
0,490,138
0,222,699
0,197,511
0,363,392
0,876,477
0,446,41
1,556,562
0,338,831
0,963,802
0,74,952
1,371,423
0,82,252
0,317,215
0,851,30
0,302,752
0,752,352
0,17,837
0,163,120
0,221,64
0,14,416
0,138,464
0,335,785
0,522,950
0,324,430
0,285,427
0,436,187
0,700,937
0,355,749
1,529,824
0,352,440
0,222,270
0,888,992
0,817,796
0,711,945
0,198,326
0,689,92
0,270,274
0,800,575
1,513,590
0,349,679
0,224,106
0,867,298
0,870,771
0,887,574
0,983,877
0,804,93
0,622,873
0,682,498
0,235,4
0,390,513
0,302,56
0,101,912
0,810,110
0,418,806
1,615,412
0,243,281
0,923,631
0,675,549
0,948,58
1,346,604
0,293,946
0,236,577
0,118,900
0,779,663
0,811,467
0,978,267
0,832,728
0,871,25
0,880,720
0,240,206
0,50,654
0,713,963
0,460,769
0,930,572
0,766,412
0,916,654
1,609,726
0,11,690
0,854,461
0,616,218
0,194,2
1,558,460
0,851,543
0,221,558
0,85,642
0,870,699
0,463,28
0,719,171
0,125,947
0,766,18
0,495,411
0,103,755
0,522,214
0,324,521
0,959,316
0,84,54
0,956,292
0,423,603
0,610,129
0,884,650
0,594,19
0,180,577
0,730,773
1,721,526
0,419,597
0,674,227
1,763,545
0,76,234
0,741,971
0,897,550
0,922,716
0,769,629
0,681,238
0,493,887
0,293,367
0,448,681
0,758,785
1,487,388
0,460,855
0,780,892
0,90,902
0,814,55
0,57,320
0,416,734
0,349,242
0,650,664
0,615,177
0,226,757
1,373,572
0,194,26
0,594,390
0,30,862
0,486,210
0,398,764
0,366,437
0,427,566
1,500,435
0,579,684
0,172,992
0,54,632
0,50,794
1,538,603
0,886,901
0,940,942
1,566,346
0,985,92
0,17,240
1,759,463
0,683,417
0,855,485
0,63,399
0,289,292
0,967,515
0,632,799
0,445,522
0,374,227
0,985,964
0,545,915
0,282,76
0,231,757
0,492,217
1,367,350
0,651,887
0,245,36
0,240,19
1,510,397
0,453,849
0,988,382
1,429,433
0,403,133
0,571,734
0,169,953
0,26,457
0,2,223
0,765,627
1,814,391
0,523,51
0,278,548
0,845,664
0,507,332
0,469,919
1,506,446
1,745,267
0,207,436
0,599,728
0,965,119
0,38,749
0,950,287
0,708,515
0,352,688
0,804,53
0,396,133
0,447,318
1,711,463
0,621,889
0,282,829
0,35,833
0,447,865
0,913,145
0,967,167
0,234,111
0,37,15
0,632,842
0,404,233
0,180,66
0,94,918
0,665,116
0,296,229
0,290,886
0,536,999
0,922,967
0,963,676
0,625,873
0,726,906
0,715,894
0,377,951
0,307,689
0,862,182
0,837,866
1,518,576
0,454,987
0,571,86
0,853,714
0,425,935
0,903,94
0,909,56
0,236,321
0,726,577
1,476,545
0,898,562
0,509,510
0,869,998
0,135,560
0,266,195
0,133,932
0,616,70
1,674,752
0,845,291
0,210,472
0,538,251
0,966,63
0,3,252
0,33,183
0,84,439
0,139,534
0,739,770
1,565,848
0,199,928
0,531,645
0,730,750
0,755,498
0,343,952
0,75,552
0,653,752
0,353,849
0,736,162
0,259,351
0,727,95
0,544,747
0,492,941
0,133,748
0,712,140
0,958,10
0,817,279
0,248,277
0,154,856
0,134,110
0,258,110
0,455,974
0,677,320
0,862,66
0,514,918
0,276,672
0,615,769
0,877,977
0,7,200
0,926,135
0,991,42
0,359,225
0,674,910
0,519,900
0,938,809
0,481,755
0,184,575
0,784,880
0,943,884
0,665,757
0,98,296
1,471,449
0,583,394
0,137,661
1,542,353
0,423,808
0,185,715
0,260,710
0,650,788
0,148,221
0,275,760
0,187,476
1,525,289
0,182,549
0,858,711
1,378,211
0,233,102
0,391,958
1,521,523
0,854,905
1,429,734
1,222,617
0,524,176
0,199,410
0,138,165
0,102,957
0,678,291
0,951,161
0,675,215
0,521,180
0,613,900
0,819,454
0,60,265
1,653,420
0,553,395
0,822,352
0,192,489
0,154,284
1,415,427
0,682,837
0,431,50
0,983,825
0,756,344
0,361,490
1,599,331
0,574,166
