y,alpha,beta
1,380,535
0,792,641
0,873,399
1,707,518
0,300,793
1,569,357
0,243,234
0,678,803
1,580,332
0,425,946
0,59,596
0,530,940
0,773,758
1,564,455
1,642,523
0,131,768
1,598,581
1,470,644
0,440,940
0,686,888
0,124,740
0,302,143
0,945,487
0,366,937
0,257,245
0,835,744
0,376,920
0,837,777
0,247,780
0,854,333
1,405,445
0,155,283
0,464,88
1,311,488
0,316,896
0,890,629
1,329,627
1,339,556
0,123,618
1,519,380
0,114,544
0,557,109
0,841,708
1,358,522
1,481,720
0,900,702
1,460,717
0,204,773
0,868,750
0,179,498
1,623,686
1,448,393
0,265,772
0,614,176
0,168,408
0,908,514
0,486,971
0,186,535
0,650,901
1,508,283
1,679,398
0,561,874
1,509,670
1,407,354
0,650,190
0,413,912
0,797,803
0,487,937
0,901,540
0,838,593
0,810,292
1,399,565
0,955,485
0,717,94
1,643,463
0,146,573
0,799,185
0,264,766
0,352,123
0,187,166
0,764,765
0,231,238
0,153,524
0,489,143
0,243,709
0,843,711
0,103,481
0,807,398
0,662,175
0,206,168
0,691,851
0,756,227
0,734,822
0,885,438
0,544,950
0,281,199
0,488,964
0,80,628
0,641,853
0,601,91
1,378,458
0,739,808
0,406,169
0,102,537
0,288,223
0,192,718
0,853,456
0,785,791
0,271,119
0,122,552
0,874,498
0,317,207
0,241,789
0,502,97
0,760,214
0,195,703
0,118,481
0,532,893
0,148,308
0,735,228
0,573,148
0,172,176
0,808,380
1,682,625
0,364,85
0,825,422
1,572,602
0,819,390
0,697,161
0,822,243
0,815,643
0,924,353
0,770,774
0,732,214
1,578,563
0,548,54
0,759,831
1,680,520
0,151,458
0,76,614
0,167,753
0,418,861
1,508,275
0,335,187
0,804,437
0,934,413
0,597,65
0,213,257
0,848,221
0,844,726
0,929,361
0,536,122
0,475,150
1,395,342
1,505,300
0,814,676
0,201,354
0,817,389
1,666,567
1,416,495
0,136,756
0,864,245
0,234,163
0,893,738
1,373,385
0,201,342
0,945,539
1,701,514
1,399,673
0,778,673
0,71,510
0,586,163
0,806,823
1,641,502
1,304,479
0,337,93
0,749,877
0,242,846
0,69,657
1,405,458
1,419,429
0,804,327
0,718,228
1,640,373
0,272,895
1,627,518
0,41,476
0,826,835
0,863,247
1,482,607
0,61,643
0,797,603
0,437,148
1,518,336
0,472,960
0,91,722
1,469,355
0,954,525
0,854,345
0,410,916
0,463,79
1,434,429
0,188,163
0,766,278
0,131,286
0,412,876
1,430,308
0,85,527
0,470,59
0,740,201
0,767,843
0,215,144
0,933,624
0,518,91
1,562,441
0,302,160
0,878,719
0,717,865
0,479,896
0,101,336
0,804,718
0,227,244
0,244,185
0,304,870
0,593,77
1,396,551
1,472,394
0,170,423
0,629,839
0,267,832
1,668,642
0,756,875
0,741,799
1,386,577
0,926,656
0,117,762
0,827,826
0,538,878
0,587,954
1,685,553
0,165,405
0,137,227
0,659,862
0,672,917
0,327,103
0,731,266
1,514,403
0,69,553
1,684,394
0,594,47
1,352,359
0,580,49
1,424,438
1,650,487
1,536,386
0,320,181
1,478,701
0,319,880
1,409,523
0,74,387
0,109,280
0,374,82
0,317,198
0,320,129
0,783,269
0,641,137
0,752,201
1,656,518
0,68,585
1,611,417
0,126,565
0,689,841
0,222,242
1,317,595
0,744,110
1,471,350
0,284,773
0,74,364
1,623,445
0,438,904
1,354,432
0,187,661
0,815,184
0,123,309
