y,alpha,beta
1,94,212
0,875,700
0,877,766
0,811,941
1,97,178
0,881,920
1,82,248
0,890,915
0,803,822
1,90,281
1,133,181
0,899,727
1,165,184
1,214,65
1,191,293
1,165,133
0,807,832
0,749,868
1,136,182
0,911,810
1,205,167
0,861,939
1,247,222
0,849,739
0,843,734
0,922,906
0,845,818
1,250,140
0,855,809
1,170,301
0,794,845
0,881,706
1,232,192
1,189,85
1,134,186
0,714,936
1,227,295
0,791,956
1,187,182
1,230,219
0,784,815
0,864,913
0,837,854
1,211,280
0,703,866
0,880,721
0,825,913
1,204,163
1,148,181
0,745,874
1,157,266
1,196,262
1,194,86
0,743,905
0,776,952
0,889,819
1,266,150
1,116,171
0,793,759
1,144,75
1,137,145
1,201,164
1,135,205
0,720,904
0,906,748
0,792,804
0,827,926
0,865,696
0,707,925
1,192,210
0,826,873
1,140,312
1,259,110
0,773,944
0,902,750
1,189,199
1,248,154
1,83,213
0,803,754
1,184,170
1,131,116
1,228,284
0,919,803
1,146,77
0,814,870
1,230,220
1,141,168
0,751,842
1,141,312
0,769,829
0,852,862
0,810,794
1,109,165
1,120,195
1,269,136
0,844,875
0,896,891
0,779,905
1,165,276
0,753,915
1,134,111
0,849,888
0,810,828
1,110,144
1,186,79
1,210,242
1,91,267
0,807,788
0,867,797
0,812,945
0,798,733
0,901,843
0,858,760
0,899,769
1,285,197
1,98,223
1,246,164
1,157,281
1,170,81
1,271,106
1,200,190
1,256,241
0,841,709
1,110,242
0,830,900
1,219,208
1,214,224
0,812,919
1,192,82
1,172,182
1,103,212
0,863,931
1,154,83
1,272,239
1,137,215
0,878,824
1,275,232
1,144,148
0,862,853
1,129,204
0,817,762
1,230,278
1,215,133
0,778,801
1,118,198
1,95,168
1,176,286
1,126,182
1,198,153
1,254,88
1,169,246
0,940,878
0,856,878
0,889,830
0,873,826
0,769,813
0,756,957
1,175,117
0,900,816
0,875,706
0,812,916
1,133,127
0,914,829
1,209,86
0,925,837
1,147,115
0,706,880
0,733,858
0,920,910
0,838,757
0,821,797
1,132,260
0,813,907
1,197,58
0,841,930
0,910,832
1,138,172
1,102,282
1,201,74
1,226,229
1,117,186
0,828,914
1,99,261
1,133,129
1,186,154
0,813,876
0,884,797
0,726,862
0,826,764
0,836,769
1,219,278
1,160,185
1,260,185
1,81,210
0,830,894
1,91,170
1,199,292
0,788,736
1,278,132
0,823,822
0,870,792
1,150,309
1,89,179
0,894,773
0,689,868
0,903,826
0,711,896
0,847,758
0,771,824
0,904,853
0,830,746
1,282,161
0,786,886
0,884,812
0,790,872
1,193,155
1,272,103
0,858,807
0,921,865
1,284,205
0,804,922
1,153,191
1,120,276
1,148,311
1,257,210
0,828,942
0,870,741
0,826,843
0,722,912
0,851,920
0,849,726
1,190,272
0,801,706
0,823,821
0,807,814
0,928,846
0,858,803
0,804,834
0,756,931
1,213,172
1,274,154
1,213,117
0,769,889
0,733,919
0,919,846
0,879,785
0,806,779
1,236,74
0,828,737
1,103,188
0,903,909
0,852,687
1,115,165
1,88,200
1,260,95
1,236,128
1,141,138
0,742,934
0,694,904
1,112,228
1,255,168
0,754,935
0,800,891
1,205,224
0,811,786
1,166,224
0,812,730
1,173,88
1,134,95
0,842,898
1,181,68
1,182,154
0,886,697
0,873,846
1,128,249
1,129,110
1,74,237
0,859,868
1,138,235
1,192,99
1,150,174
1,269,165
0,839,763
0,787,866
0,851,780
1,77,224
1,147,220
0,779,821
1,281,207
1,175,66
0,853,899
0,906,935
1,84,193
1,283,204
0,792,833
1,154,273
0,711,885
1,259,254
1,232,178
0,775,914
0,805,889
1,282,202
0,762,850
0,896,736
0,849,755
1,206,250
1,155,197
1,115,226
1,218,297
0,886,772
1,212,247
0,759,834
0,754,926
0,857,843
0,790,831
1,271,222
1,223,110
1,182,86
0,934,836
0,898,786
0,773,958
0,751,873
1,232,301
1,243,237
1,176,155
0,788,961
0,924,878
0,869,918
0,882,866
0,781,856
0,882,853
0,878,879
1,239,268
0,913,913
0,742,830
0,815,715
0,814,830
0,742,836
1,128,200
0,899,775
0,822,879
0,781,908
0,885,922
1,149,301
1,271,141
0,907,773
1,158,274
0,848,841
0,882,884
1,141,187
1,234,178
1,133,152
0,847,705
1,76,220
1,235,157
0,767,802
0,870,751
0,840,870
1,246,204
1,187,63
1,179,74
1,112,223
0,845,741
1,107,222
1,266,224
0,809,838
0,838,863
1,77,192
1,239,133
1,88,203
0,940,857
1,225,216
1,271,154
1,137,84
0,805,842
0,789,898
0,800,752
0,799,882
0,930,824
0,923,907
0,753,841
1,234,95
1,90,249
0,848,695
0,754,916
0,899,911
1,152,234
0,833,795
1,121,232
0,841,812
0,806,824
1,162,184
1,107,168
0,829,839
1,240,101
0,900,775
0,809,799
1,202,268
0,910,785
0,721,940
1,262,163
0,828,783
0,897,769
1,213,134
1,151,67
0,749,894
1,264,96
1,227,279
1,141,296
1,89,155
1,130,266
0,798,952
0,818,902
0,731,851
0,707,880
1,120,115
0,721,870
0,738,949
1,169,253
0,886,841
0,819,716
1,184,114
0,888,762
1,228,243
1,191,165
1,127,195
1,174,97
0,852,803
0,838,817
0,735,826
0,914,909
1,272,132
1,259,203
1,274,252
1,129,149
0,753,880
1,238,267
0,822,898
0,728,903
0,813,817
0,897,841
1,162,288
0,826,892
0,854,733
0,724,867
0,794,772
0,811,815
1,248,129
1,105,259
0,872,766
0,847,812
1,229,121
0,698,914
0,714,860
0,922,919
1,99,152
0,832,683
0,935,841
1,248,142
1,241,120
1,127,230
1,272,226
1,222,97
1,197,73
1,143,156
1,173,115
0,827,881
1,226,86
0,700,878
1,251,217
0,754,952
0,859,781
0,799,757
0,758,957
1,282,216
0,770,800
1,226,262
0,898,876
0,894,763
0,709,890
1,171,194
0,806,823
0,835,728
1,203,255
0,872,711
0,892,897
0,926,804
1,156,74
1,113,146
1,176,139
0,771,801
0,772,943
0,832,908
0,887,838
1,206,254
0,757,918
1,113,129
0,870,921
0,843,695
0,784,863
0,840,881
1,146,114
1,154,163
0,914,762
1,202,211
1,241,202
1,158,137
1,210,205
0,854,847
